 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
90,51,255,0,255,255,255,167.794,1184.265,167.794,1184.265,25.799,163,1180,9,8,8.636,7.519,34.354,0.963,9.487,13005,255,NaN,NaN,100,13005,1,163,1185,18.435,8.000,1.149,0.871,0.872
91,11,255,0,255,255,255,24.318,1200.500,24.318,1200.500,12.485,22,1199,4,4,4.675,2.996,144.992,0.887,5.657,2805,255,NaN,NaN,100,2805,1,22,1199,135.000,3.883,1.560,0.641,0.846
92,1,255,0,255,255,255,1032.500,1205.500,1032.500,1205.500,2.828,1032,1205,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,1032,1205,135.000,1.000,1.000,1.000,1.000
93,1,255,0,255,255,255,1331.500,1227.500,1331.500,1227.500,2.828,1331,1227,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,1331,1227,135.000,1.000,1.000,1.000,1.000
94,8,255,0,255,255,255,1292.000,1235.000,1292.000,1235.000,11.314,1290,1233,4,4,5.191,1.962,135.000,0.785,5.657,2040,255,NaN,NaN,100,2040,1,1290,1233,135.000,2.828,2.646,0.378,0.667
95,20,255,0,255,255,255,1029.750,1238.750,1029.750,1238.750,15.314,1027,1236,5,5,5.142,4.953,45.003,1.000,5.831,5100,255,NaN,NaN,100,5100,1,1029,1236,120.964,5.000,1.038,0.963,0.909
96,13,255,0,255,255,255,126.115,1238.654,126.115,1238.654,13.071,124,1237,4,4,4.622,3.581,157.097,0.956,5.657,3315,255,NaN,NaN,100,3315,1,124,1237,135.000,4.000,1.291,0.775,0.897
97,30,255,0,255,255,255,1338.000,1262.833,1338.000,1262.833,20.142,1334,1260,7,6,6.777,5.636,169.781,0.929,7.616,7650,255,NaN,NaN,100,7650,1,1334,1262,156.801,6.000,1.202,0.832,0.857
98,1,255,0,255,255,255,1343.500,1268.500,1343.500,1268.500,2.828,1343,1268,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,1343,1268,135.000,1.000,1.000,1.000,1.000
99,13,255,0,255,255,255,952.115,1296.423,952.115,1296.423,16.142,950,1294,5,5,4.219,3.923,165.128,0.627,5.657,3315,255,NaN,NaN,100,3315,1,951,1299,45.000,4.919,1.075,0.930,0.684
100,30,255,0,255,255,255,1248.467,1298.667,1248.467,1298.667,20.385,1245,1295,7,7,6.859,5.569,44.276,0.907,7.616,7650,255,NaN,NaN,100,7650,1,1245,1300,23.199,6.261,1.232,0.812,0.822
101,15,255,0,255,255,255,152.300,1298.967,152.300,1298.967,14.485,150,1297,5,4,5.082,3.758,140.884,0.898,6.403,3825,255,NaN,NaN,100,3825,1,150,1297,141.340,4.000,1.352,0.740,0.833
102,1,255,0,255,255,255,154.500,1307.500,154.500,1307.500,2.828,154,1307,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,154,1307,135.000,1.000,1.000,1.000,1.000
103,3,255,0,255,255,255,944.167,1308.833,944.167,1308.833,5.657,943,1308,2,2,2.365,1.615,135.000,1.000,2.828,765,255,NaN,NaN,100,765,1,943,1308,135.000,2.000,1.464,0.683,0.857
104,2,255,0,255,255,255,1031.500,1309.000,1031.500,1309.000,4.828,1031,1308,1,2,2.257,1.128,90.000,1.000,2.236,510,255,NaN,NaN,100,510,1,1031,1308,116.565,1.000,2.000,0.500,1.000
105,3,255,0,255,255,255,1029.167,1309.833,1029.167,1309.833,5.657,1028,1309,2,2,2.365,1.615,135.000,1.000,2.828,765,255,NaN,NaN,100,765,1,1028,1309,135.000,2.000,1.464,0.683,0.857
106,2,255,0,255,255,255,1032.000,1311.500,1032.000,1311.500,4.243,1031,1311,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100,510,1,1031,1311,153.435,1.000,2.000,0.500,1.000
107,30,255,0,255,255,255,800.167,1329.467,800.167,1329.467,21.556,797,1326,6,7,6.461,5.912,130.106,0.811,7.616,7650,255,NaN,NaN,100,7650,1,799,1326,113.199,6.000,1.093,0.915,0.845
108,44,255,0,255,255,255,647.432,1338.864,647.432,1338.864,24.142,644,1335,7,8,8.066,6.945,69.020,0.949,9.220,11220,255,NaN,NaN,100,11220,1,644,1342,49.399,7.000,1.161,0.861,0.898
109,2,255,0,255,255,255,1283.000,1357.500,1283.000,1357.500,4.243,1282,1357,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100,510,1,1282,1357,153.435,1.000,2.000,0.500,1.000
110,15,255,0,255,255,255,1056.700,1411.967,1056.700,1411.967,16.142,1054,1409,5,6,5.222,3.658,112.330,0.723,6.083,3825,255,NaN,NaN,100,3825,1,1057,1409,99.462,4.608,1.428,0.700,0.732
111,44,255,0,255,255,255,1020.932,1472.477,1020.932,1472.477,25.213,1017,1468,8,8,7.788,7.194,40.681,0.870,8.944,11220,255,NaN,NaN,100,11220,1,1017,1475,26.565,7.778,1.083,0.924,0.863
112,58,255,0,255,255,255,444.552,1528.483,444.552,1528.483,30.042,439,1524,11,9,9.919,7.445,27.971,0.808,11.705,14790,255,NaN,NaN,100,14790,1,439,1530,19.983,8.489,1.332,0.751,0.806
113,38,255,0,255,255,255,387.921,1565.711,387.921,1565.711,22.142,384,1562,7,7,7.558,6.402,51.577,0.974,8.602,9690,255,NaN,NaN,100,9690,1,384,1568,35.538,7.000,1.181,0.847,0.905
114,49,255,0,255,255,255,383.133,1684.500,383.133,1684.500,24.971,379,1680,8,8,8.484,7.354,37.047,0.988,9.434,12495,255,NaN,NaN,100,12495,1,379,1687,32.005,8.000,1.154,0.867,0.899
115,1,255,0,255,255,255,386.500,1690.500,386.500,1690.500,2.828,386,1690,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,386,1690,135.000,1.000,1.000,1.000,1.000
116,1,255,0,255,255,255,388.500,1690.500,388.500,1690.500,2.828,388,1690,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,1,388,1690,135.000,1.000,1.000,1.000,1.000
