 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,Ch,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1514,1,255,0,255,255,255,467.500,677.500,467.500,677.500,2.828,467,677,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,467,677,135.000,1.000,1.000,1.000,1.000
1515,1,255,0,255,255,255,852.500,677.500,852.500,677.500,2.828,852,677,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,852,677,135.000,1.000,1.000,1.000,1.000
1516,1,255,0,255,255,255,1130.500,677.500,1130.500,677.500,2.828,1130,677,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1130,677,135.000,1.000,1.000,1.000,1.000
1517,1,255,0,255,255,255,556.500,678.500,556.500,678.500,2.828,556,678,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,556,678,135.000,1.000,1.000,1.000,1.000
1518,1,255,0,255,255,255,900.500,678.500,900.500,678.500,2.828,900,678,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,900,678,135.000,1.000,1.000,1.000,1.000
1519,1,255,0,255,255,255,1068.500,678.500,1068.500,678.500,2.828,1068,678,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1068,678,135.000,1.000,1.000,1.000,1.000
1520,1,255,0,255,255,255,1086.500,679.500,1086.500,679.500,2.828,1086,679,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1086,679,135.000,1.000,1.000,1.000,1.000
1521,2,255,0,255,255,255,1133.000,679.500,1133.000,679.500,4.243,1132,679,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100,510,2,1132,679,153.435,1.000,2.000,0.500,1.000
1522,1,255,0,255,255,255,1179.500,679.500,1179.500,679.500,2.828,1179,679,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1179,679,135.000,1.000,1.000,1.000,1.000
1523,1,255,0,255,255,255,1042.500,680.500,1042.500,680.500,2.828,1042,680,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1042,680,135.000,1.000,1.000,1.000,1.000
1524,1,255,0,255,255,255,1044.500,680.500,1044.500,680.500,2.828,1044,680,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1044,680,135.000,1.000,1.000,1.000,1.000
1525,2,255,0,255,255,255,796.000,682.000,796.000,682.000,5.657,795,681,2,2,2.596,0.981,45.000,0.785,2.828,510,255,NaN,NaN,100,510,2,795,683,45.000,1.414,2.646,0.378,0.667
1526,20,255,0,255,255,255,1149.900,683.600,1149.900,683.600,20.971,1146,681,7,5,5.636,4.519,5.978,0.572,7.280,5100,255,NaN,NaN,100,5100,2,1146,684,15.945,5.000,1.247,0.802,0.702
1527,1,255,0,255,255,255,1177.500,681.500,1177.500,681.500,2.828,1177,681,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1177,681,135.000,1.000,1.000,1.000,1.000
1528,1,255,0,255,255,255,620.500,682.500,620.500,682.500,2.828,620,682,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,620,682,135.000,1.000,1.000,1.000,1.000
1529,1,255,0,255,255,255,930.500,682.500,930.500,682.500,2.828,930,682,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,930,682,135.000,1.000,1.000,1.000,1.000
1530,1,255,0,255,255,255,1042.500,682.500,1042.500,682.500,2.828,1042,682,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1042,682,135.000,1.000,1.000,1.000,1.000
1531,1,255,0,255,255,255,695.500,683.500,695.500,683.500,2.828,695,683,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,695,683,135.000,1.000,1.000,1.000,1.000
1532,1,255,0,255,255,255,1050.500,683.500,1050.500,683.500,2.828,1050,683,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1050,683,135.000,1.000,1.000,1.000,1.000
1533,6,255,0,255,255,255,1256.500,684.000,1256.500,684.000,12.728,1254,683,5,2,4.258,1.794,6.620,0.465,5.385,1530,255,NaN,NaN,100,1530,2,1254,685,21.801,2.000,2.374,0.421,0.667
1534,1,255,0,255,255,255,589.500,685.500,589.500,685.500,2.828,589,685,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,589,685,135.000,1.000,1.000,1.000,1.000
1535,1,255,0,255,255,255,751.500,685.500,751.500,685.500,2.828,751,685,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,751,685,135.000,1.000,1.000,1.000,1.000
1536,108,255,0,255,255,255,759.435,691.269,759.435,691.269,52.426,752,685,16,12,15.751,8.730,173.336,0.494,17.088,27540,255,NaN,NaN,100,27540,2,752,687,159.444,11.628,1.804,0.554,0.745
1537,1,255,0,255,255,255,1133.500,685.500,1133.500,685.500,2.828,1133,685,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1133,685,135.000,1.000,1.000,1.000,1.000
1538,1,255,0,255,255,255,1168.500,685.500,1168.500,685.500,2.828,1168,685,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1168,685,135.000,1.000,1.000,1.000,1.000
1539,1,255,0,255,255,255,624.500,686.500,624.500,686.500,2.828,624,686,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,624,686,135.000,1.000,1.000,1.000,1.000
1540,1,255,0,255,255,255,1008.500,686.500,1008.500,686.500,2.828,1008,686,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1008,686,135.000,1.000,1.000,1.000,1.000
1541,1,255,0,255,255,255,1159.500,686.500,1159.500,686.500,2.828,1159,686,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1159,686,135.000,1.000,1.000,1.000,1.000
1542,1,255,0,255,255,255,560.500,687.500,560.500,687.500,2.828,560,687,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,560,687,135.000,1.000,1.000,1.000,1.000
1543,1,255,0,255,255,255,936.500,687.500,936.500,687.500,2.828,936,687,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,936,687,135.000,1.000,1.000,1.000,1.000
1544,1,255,0,255,255,255,1132.500,687.500,1132.500,687.500,2.828,1132,687,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1132,687,135.000,1.000,1.000,1.000,1.000
1545,1,255,0,255,255,255,1136.500,687.500,1136.500,687.500,2.828,1136,687,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1136,687,135.000,1.000,1.000,1.000,1.000
1546,1,255,0,255,255,255,1194.500,687.500,1194.500,687.500,2.828,1194,687,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1194,687,135.000,1.000,1.000,1.000,1.000
1547,1,255,0,255,255,255,581.500,688.500,581.500,688.500,2.828,581,688,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,581,688,135.000,1.000,1.000,1.000,1.000
1548,1,255,0,255,255,255,1051.500,688.500,1051.500,688.500,2.828,1051,688,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1051,688,135.000,1.000,1.000,1.000,1.000
1549,1,255,0,255,255,255,904.500,689.500,904.500,689.500,2.828,904,689,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,904,689,135.000,1.000,1.000,1.000,1.000
1550,1,255,0,255,255,255,906.500,689.500,906.500,689.500,2.828,906,689,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,906,689,135.000,1.000,1.000,1.000,1.000
1551,1,255,0,255,255,255,865.500,690.500,865.500,690.500,2.828,865,690,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,865,690,135.000,1.000,1.000,1.000,1.000
1552,1,255,0,255,255,255,856.500,691.500,856.500,691.500,2.828,856,691,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,856,691,135.000,1.000,1.000,1.000,1.000
1553,1,255,0,255,255,255,906.500,691.500,906.500,691.500,2.828,906,691,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,906,691,135.000,1.000,1.000,1.000,1.000
1554,1,255,0,255,255,255,1046.500,691.500,1046.500,691.500,2.828,1046,691,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1046,691,135.000,1.000,1.000,1.000,1.000
1555,1,255,0,255,255,255,1052.500,691.500,1052.500,691.500,2.828,1052,691,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1052,691,135.000,1.000,1.000,1.000,1.000
1556,1,255,0,255,255,255,1094.500,691.500,1094.500,691.500,2.828,1094,691,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1094,691,135.000,1.000,1.000,1.000,1.000
1557,1,255,0,255,255,255,931.500,692.500,931.500,692.500,2.828,931,692,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,931,692,135.000,1.000,1.000,1.000,1.000
1558,1,255,0,255,255,255,858.500,693.500,858.500,693.500,2.828,858,693,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,858,693,135.000,1.000,1.000,1.000,1.000
1559,1,255,0,255,255,255,1004.500,693.500,1004.500,693.500,2.828,1004,693,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1004,693,135.000,1.000,1.000,1.000,1.000
1560,1,255,0,255,255,255,1025.500,694.500,1025.500,694.500,2.828,1025,694,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1025,694,135.000,1.000,1.000,1.000,1.000
1561,1,255,0,255,255,255,520.500,695.500,520.500,695.500,2.828,520,695,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,520,695,135.000,1.000,1.000,1.000,1.000
1562,1,255,0,255,255,255,524.500,695.500,524.500,695.500,2.828,524,695,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,524,695,135.000,1.000,1.000,1.000,1.000
1563,1,255,0,255,255,255,560.500,695.500,560.500,695.500,2.828,560,695,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,560,695,135.000,1.000,1.000,1.000,1.000
1564,1,255,0,255,255,255,820.500,695.500,820.500,695.500,2.828,820,695,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,820,695,135.000,1.000,1.000,1.000,1.000
1565,1,255,0,255,255,255,833.500,695.500,833.500,695.500,2.828,833,695,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,833,695,135.000,1.000,1.000,1.000,1.000
1566,1,255,0,255,255,255,511.500,696.500,511.500,696.500,2.828,511,696,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,511,696,135.000,1.000,1.000,1.000,1.000
1567,1,255,0,255,255,255,760.500,696.500,760.500,696.500,2.828,760,696,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,760,696,135.000,1.000,1.000,1.000,1.000
1568,1,255,0,255,255,255,1043.500,696.500,1043.500,696.500,2.828,1043,696,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1043,696,135.000,1.000,1.000,1.000,1.000
1569,1,255,0,255,255,255,1190.500,696.500,1190.500,696.500,2.828,1190,696,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1190,696,135.000,1.000,1.000,1.000,1.000
1570,1,255,0,255,255,255,505.500,697.500,505.500,697.500,2.828,505,697,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,505,697,135.000,1.000,1.000,1.000,1.000
1571,1,255,0,255,255,255,524.500,697.500,524.500,697.500,2.828,524,697,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,524,697,135.000,1.000,1.000,1.000,1.000
1572,1,255,0,255,255,255,862.500,697.500,862.500,697.500,2.828,862,697,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,862,697,135.000,1.000,1.000,1.000,1.000
1573,1,255,0,255,255,255,864.500,697.500,864.500,697.500,2.828,864,697,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,864,697,135.000,1.000,1.000,1.000,1.000
1574,1,255,0,255,255,255,756.500,698.500,756.500,698.500,2.828,756,698,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,756,698,135.000,1.000,1.000,1.000,1.000
1575,1,255,0,255,255,255,758.500,698.500,758.500,698.500,2.828,758,698,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,758,698,135.000,1.000,1.000,1.000,1.000
1576,1,255,0,255,255,255,760.500,698.500,760.500,698.500,2.828,760,698,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,760,698,135.000,1.000,1.000,1.000,1.000
1577,1,255,0,255,255,255,832.500,698.500,832.500,698.500,2.828,832,698,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,832,698,135.000,1.000,1.000,1.000,1.000
1578,1,255,0,255,255,255,891.500,698.500,891.500,698.500,2.828,891,698,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,891,698,135.000,1.000,1.000,1.000,1.000
1579,1,255,0,255,255,255,1040.500,699.500,1040.500,699.500,2.828,1040,699,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1040,699,135.000,1.000,1.000,1.000,1.000
1580,1,255,0,255,255,255,1069.500,699.500,1069.500,699.500,2.828,1069,699,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1069,699,135.000,1.000,1.000,1.000,1.000
1581,1,255,0,255,255,255,1154.500,699.500,1154.500,699.500,2.828,1154,699,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1154,699,135.000,1.000,1.000,1.000,1.000
1582,1,255,0,255,255,255,862.500,700.500,862.500,700.500,2.828,862,700,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,862,700,135.000,1.000,1.000,1.000,1.000
1583,1,255,0,255,255,255,864.500,700.500,864.500,700.500,2.828,864,700,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,864,700,135.000,1.000,1.000,1.000,1.000
1584,1,255,0,255,255,255,1062.500,701.500,1062.500,701.500,2.828,1062,701,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1062,701,135.000,1.000,1.000,1.000,1.000
1585,58,255,0,255,255,255,1067.603,705.017,1067.603,705.017,35.456,1062,701,11,8,10.373,7.119,18.538,0.580,12.530,14790,255,NaN,NaN,100,14790,2,1062,707,28.610,8.000,1.457,0.686,0.817
1586,1,255,0,255,255,255,451.500,702.500,451.500,702.500,2.828,451,702,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,451,702,135.000,1.000,1.000,1.000,1.000
1587,1,255,0,255,255,255,576.500,702.500,576.500,702.500,2.828,576,702,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,576,702,135.000,1.000,1.000,1.000,1.000
1588,1,255,0,255,255,255,1026.500,702.500,1026.500,702.500,2.828,1026,702,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1026,702,135.000,1.000,1.000,1.000,1.000
1589,1,255,0,255,255,255,1057.500,702.500,1057.500,702.500,2.828,1057,702,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1057,702,135.000,1.000,1.000,1.000,1.000
1590,1,255,0,255,255,255,1178.500,702.500,1178.500,702.500,2.828,1178,702,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1178,702,135.000,1.000,1.000,1.000,1.000
1591,1,255,0,255,255,255,36.500,703.500,36.500,703.500,2.828,36,703,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,36,703,135.000,1.000,1.000,1.000,1.000
1592,1,255,0,255,255,255,910.500,703.500,910.500,703.500,2.828,910,703,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,910,703,135.000,1.000,1.000,1.000,1.000
1593,1,255,0,255,255,255,1130.500,703.500,1130.500,703.500,2.828,1130,703,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1130,703,135.000,1.000,1.000,1.000,1.000
1594,1,255,0,255,255,255,1059.500,704.500,1059.500,704.500,2.828,1059,704,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1059,704,135.000,1.000,1.000,1.000,1.000
1595,9,255,0,255,255,255,1131.500,706.167,1131.500,706.167,12.728,1129,704,5,4,4.744,2.415,35.783,0.698,5.385,2295,255,NaN,NaN,100,2295,2,1129,707,21.801,3.328,1.964,0.509,0.643
1596,1,255,0,255,255,255,1261.500,704.500,1261.500,704.500,2.828,1261,704,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1261,704,135.000,1.000,1.000,1.000,1.000
1597,1,255,0,255,255,255,34.500,705.500,34.500,705.500,2.828,34,705,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,34,705,135.000,1.000,1.000,1.000,1.000
1598,1,255,0,255,255,255,553.500,705.500,553.500,705.500,2.828,553,705,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,553,705,135.000,1.000,1.000,1.000,1.000
1599,1,255,0,255,255,255,826.500,705.500,826.500,705.500,2.828,826,705,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,826,705,135.000,1.000,1.000,1.000,1.000
1600,1,255,0,255,255,255,833.500,705.500,833.500,705.500,2.828,833,705,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,833,705,135.000,1.000,1.000,1.000,1.000
1601,2,255,0,255,255,255,911.000,705.500,911.000,705.500,4.243,910,705,2,1,2.257,1.128,0.000,1.000,2.236,510,255,NaN,NaN,100,510,2,910,705,153.435,1.000,2.000,0.500,1.000
1602,1,255,0,255,255,255,1056.500,705.500,1056.500,705.500,2.828,1056,705,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1056,705,135.000,1.000,1.000,1.000,1.000
1603,1,255,0,255,255,255,1103.500,705.500,1103.500,705.500,2.828,1103,705,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1103,705,135.000,1.000,1.000,1.000,1.000
1604,1,255,0,255,255,255,447.500,706.500,447.500,706.500,2.828,447,706,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,447,706,135.000,1.000,1.000,1.000,1.000
1605,1,255,0,255,255,255,838.500,706.500,838.500,706.500,2.828,838,706,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,838,706,135.000,1.000,1.000,1.000,1.000
1606,6,255,0,255,255,255,1115.333,709.667,1115.333,709.667,13.314,1114,707,3,5,4.140,1.845,72.344,0.425,5.385,1530,255,NaN,NaN,100,1530,2,1115,712,68.199,2.668,2.243,0.446,0.571
1607,1,255,0,255,255,255,1140.500,707.500,1140.500,707.500,2.828,1140,707,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1140,707,135.000,1.000,1.000,1.000,1.000
1608,1,255,0,255,255,255,1048.500,708.500,1048.500,708.500,2.828,1048,708,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1048,708,135.000,1.000,1.000,1.000,1.000
1609,1,255,0,255,255,255,1050.500,708.500,1050.500,708.500,2.828,1050,708,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1050,708,135.000,1.000,1.000,1.000,1.000
1610,1,255,0,255,255,255,830.500,710.500,830.500,710.500,2.828,830,710,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,830,710,135.000,1.000,1.000,1.000,1.000
1611,1,255,0,255,255,255,1012.500,710.500,1012.500,710.500,2.828,1012,710,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1012,710,135.000,1.000,1.000,1.000,1.000
1612,1,255,0,255,255,255,1028.500,710.500,1028.500,710.500,2.828,1028,710,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1028,710,135.000,1.000,1.000,1.000,1.000
1613,1,255,0,255,255,255,1095.500,710.500,1095.500,710.500,2.828,1095,710,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1095,710,135.000,1.000,1.000,1.000,1.000
1614,1,255,0,255,255,255,698.500,711.500,698.500,711.500,2.828,698,711,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,698,711,135.000,1.000,1.000,1.000,1.000
1615,1,255,0,255,255,255,1000.500,711.500,1000.500,711.500,2.828,1000,711,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1000,711,135.000,1.000,1.000,1.000,1.000
1616,1,255,0,255,255,255,821.500,712.500,821.500,712.500,2.828,821,712,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,821,712,135.000,1.000,1.000,1.000,1.000
1617,1,255,0,255,255,255,840.500,712.500,840.500,712.500,2.828,840,712,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,840,712,135.000,1.000,1.000,1.000,1.000
1618,3,255,0,255,255,255,1113.500,713.500,1113.500,713.500,6.828,1113,712,1,3,3.385,1.128,90.000,0.809,3.162,765,255,NaN,NaN,100,765,2,1113,712,108.435,1.000,3.000,0.333,1.000
1619,1,255,0,255,255,255,1138.500,712.500,1138.500,712.500,2.828,1138,712,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1138,712,135.000,1.000,1.000,1.000,1.000
1620,1,255,0,255,255,255,1182.500,712.500,1182.500,712.500,2.828,1182,712,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1182,712,135.000,1.000,1.000,1.000,1.000
1621,2,255,0,255,255,255,587.000,714.000,587.000,714.000,5.657,586,713,2,2,2.596,0.981,45.000,0.785,2.828,510,255,NaN,NaN,100,510,2,586,715,45.000,1.414,2.646,0.378,0.667
1622,1,255,0,255,255,255,589.500,713.500,589.500,713.500,2.828,589,713,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,589,713,135.000,1.000,1.000,1.000,1.000
1623,1,255,0,255,255,255,675.500,713.500,675.500,713.500,2.828,675,713,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,675,713,135.000,1.000,1.000,1.000,1.000
1624,1,255,0,255,255,255,1217.500,713.500,1217.500,713.500,2.828,1217,713,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1217,713,135.000,1.000,1.000,1.000,1.000
1625,1,255,0,255,255,255,924.500,714.500,924.500,714.500,2.828,924,714,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,924,714,135.000,1.000,1.000,1.000,1.000
1626,1,255,0,255,255,255,1022.500,714.500,1022.500,714.500,2.828,1022,714,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1022,714,135.000,1.000,1.000,1.000,1.000
1627,1,255,0,255,255,255,1029.500,714.500,1029.500,714.500,2.828,1029,714,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1029,714,135.000,1.000,1.000,1.000,1.000
1628,1,255,0,255,255,255,1064.500,714.500,1064.500,714.500,2.828,1064,714,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1064,714,135.000,1.000,1.000,1.000,1.000
1629,1,255,0,255,255,255,736.500,715.500,736.500,715.500,2.828,736,715,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,736,715,135.000,1.000,1.000,1.000,1.000
1630,1,255,0,255,255,255,1156.500,715.500,1156.500,715.500,2.828,1156,715,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1156,715,135.000,1.000,1.000,1.000,1.000
1631,1,255,0,255,255,255,1242.500,715.500,1242.500,715.500,2.828,1242,715,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1242,715,135.000,1.000,1.000,1.000,1.000
1632,1,255,0,255,255,255,1172.500,716.500,1172.500,716.500,2.828,1172,716,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1172,716,135.000,1.000,1.000,1.000,1.000
1633,1,255,0,255,255,255,1184.500,717.500,1184.500,717.500,2.828,1184,717,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1184,717,135.000,1.000,1.000,1.000,1.000
1634,2,255,0,255,255,255,803.000,719.000,803.000,719.000,5.657,802,718,2,2,2.596,0.981,45.000,0.785,2.828,510,255,NaN,NaN,100,510,2,802,720,45.000,1.414,2.646,0.378,0.667
1635,1,255,0,255,255,255,835.500,718.500,835.500,718.500,2.828,835,718,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,835,718,135.000,1.000,1.000,1.000,1.000
1636,1,255,0,255,255,255,1170.500,718.500,1170.500,718.500,2.828,1170,718,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1170,718,135.000,1.000,1.000,1.000,1.000
1637,1,255,0,255,255,255,1186.500,718.500,1186.500,718.500,2.828,1186,718,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1186,718,135.000,1.000,1.000,1.000,1.000
1638,1,255,0,255,255,255,1188.500,718.500,1188.500,718.500,2.828,1188,718,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,1188,718,135.000,1.000,1.000,1.000,1.000
1639,1,255,0,255,255,255,456.500,719.500,456.500,719.500,2.828,456,719,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,456,719,135.000,1.000,1.000,1.000,1.000
1640,1,255,0,255,255,255,458.500,719.500,458.500,719.500,2.828,458,719,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,458,719,135.000,1.000,1.000,1.000,1.000
1641,1,255,0,255,255,255,487.500,719.500,487.500,719.500,2.828,487,719,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,487,719,135.000,1.000,1.000,1.000,1.000
1642,1,255,0,255,255,255,987.500,719.500,987.500,719.500,2.828,987,719,1,1,1.128,1.128,0.000,1.000,1.414,255,255,NaN,NaN,100,255,2,987,719,135.000,1.000,1.000,1.000,1.000
